JAVA	JavaScript	HTML5	PHP	합계	Pass/Fail
 24	    22		  22   	 23	 91           Pass
 15	    18		  19	 20	 72	   Pass
 21	    20		  22	 21	 84	   Pass
 19	    23		  20	 17	 79	   Pass
 18	    19		  22	 18	 77	   Pass
 20	    22		  19	 17	 78	   Pass
 20	    23		  21	 20	 83	   Pass
 19	    21		  20	 20	 80	   Pass
 22	    16		  16	 23	 77	   Pass
 21	    23		  23	 20	 86	   Pass
 19	    24		  18	 23	 83	   Pass
 24	    18		  19	 23	 84	   Pass
 24	    25		  24	 21	 94	   Pass
 25	    23		  23	 22	 93	   Pass
 21	    23		  20	 18	 82	   Pass
 12	    8		  7	 15	 42	   Fail
 5	    8		  4	 6	 23	   Fail
 8	    6		  10	 8	 32	   Fail
 7	    10		  14	 12	 43	   Fail
 12	    11		  13	 14	 50	   Fail
 12	    11		  13	 5	 41	   Fail
 8	    8		  4	 5	 25	   Fail
 15	    14		  13	 12	 54	   Fail
 8	    7		  14	 16	 45	   Fail
 15	    16		  10	 11	 52	   Fail
 15	    13		  12	 7	 47	   Fail
 13	    12		  14	 11	 50	   Fail
 9	    2		  8	 14	 33	   Fail
 15	    4		  8	 8	 35	   Fail
 6	    5		  2	 4	 17	   Fail
